id,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,is_location_exact,accommodates,bathrooms,bedrooms,beds,price,guests_included,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,Essentials,TV,Air conditioning,Elevator,Hangers,Washer,Iron,Laptop friendly workspace,Family/kid friendly,Hot water,Cable TV,Hair dryer,Free parking on premises,Smoking allowed,Dishes and silverware,Refrigerator,Doorman,Buzzer/wireless intercom,property_type_Apartment,room_type_Private room,cancellation_policy_moderate,cancellation_policy_strict_14_with_grace_period,neighbourhood_mean_price
16380399,2016.0,1,1.0,1.0,0,1,4,1.0,1.0,2.0,201.0,2,3,90,3,3,90,90,3.0,90.0,8,29,59,96,9,9,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,521.9021479713604
2776281,2012.0,0,1.0,1.0,0,1,2,1.0,1.0,1.0,600.0,1,1,1125,1,1,1125,1125,1.0,1125.0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,521.9021479713604
9489489,2015.0,0,11.0,11.0,0,1,4,1.0,1.0,2.0,218.0,1,3,90,3,7,90,90,3.2,90.0,12,13,13,32,3,0,0,10,9,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,521.9021479713604
29431449,2017.0,0,9.0,9.0,1,1,15,6.0,5.0,5.0,4713.0,1,5,30,5,5,30,30,5.0,30.0,24,35,50,50,0,0,1,3,3,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,521.9021479713604
41595345,2018.0,0,1.0,1.0,0,1,2,1.0,1.0,1.0,126.0,1,1,1125,1,1,1125,1125,1.0,1125.0,17,41,71,346,0,0,1,3,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,521.9021479713604
30554847,2017.0,0,1.0,1.0,0,1,3,1.0,1.0,2.0,1002.0,1,3,5,3,3,5,5,3.0,5.0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,521.9021479713604
7048352,2012.0,0,1.0,1.0,1,0,2,2.0,1.0,1.0,210.0,1,1,1125,1,1,1125,1125,1.0,1125.0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,521.9021479713604
29570067,2018.0,0,1.0,1.0,0,1,6,2.5,3.0,5.0,629.0,1,3,1125,3,8,1125,1125,3.2,1125.0,28,50,80,170,3,3,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,521.9021479713604
3041325,2014.0,0,1.0,1.0,0,0,4,1.0,2.0,3.0,600.0,1,2,1125,2,2,1125,1125,2.0,1125.0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,521.9021479713604
29831416,2015.0,0,1.0,1.0,0,0,4,1.5,2.0,2.0,336.0,1,4,10,4,4,10,10,4.0,10.0,28,54,84,359,2,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,521.9021479713604
